Days,Place,Inches,Centi_metres
65.90,"Rochester, New York",99.50,252.70
61.00,"Buffalo, New York",94.70,240.50
46.90,"Cleveland, Ohio",68.10,173.00
34.80,"Salt Lake City, Utah",56.20,142.70
37.30,"Minneapolis, Minnesota",54.00,137.20
33.30,"Denver, Colorado",53.80,136.70
35.30,"Milwaukee, Wisconsin",46.90,119.10
22.40,"Boston, Massachusetts",43.80,111.30
36.40,"Detroit, Michigan",42.70,108.50
39.60,"Pittsburgh, Pennsylvania",41.90,106.40
20.10,"Hartford, Connecticut",40.50,102.90
28.50,"Chicago, Illinois",36.70,93.20
18.70,"Providence, Rhode Island",33.80,85.90
30.40,"Columbus, Ohio",27.50,69.90
23.50,"Indianapolis, Indiana",25.90,65.80
11.10,"New York, New York",25.10,63.80
12.20,"Philadelphia, Pennsylvania",22.40,56.90
9.60,"Baltimore, Maryland",20.20,51.30
14.50,"St. Louis, Missouri",17.70,45.00
8.10,"Washington, DC",14.50,36.80
8.30,"Kansas City, Missouri",13.40,34.00
11.80,"Louisville, Kentucky",12.50,31.80
9.80,"Cincinnati, Ohio",11.20,28.40
6.10,"Richmond, Virginia",10.30,26.20
5.60,"Oklahoma City, Oklahoma",7.80,19.80
6.20,"Nashville, Tennessee",6.30,16.00
4.00,"Virginia Beach, Virginia",5.80,14.70
3.00,"Seattle, Washington",5.00,12.70
1.90,"Charlotte, North Carolina",4.30,10.90
1.70,"Raleigh, North Carolina",3.90,9.90
2.80,"Memphis, Tennessee",3.80,9.70
2.20,"Portland, Oregon",3.00,7.60
2.10,"Atlanta, Georgia",2.90,7.40
0.80,"Birmingham, Alabama",1.60,4.10
1.30,"Dallas, Texas",1.50,3.80
0.40,"San Antonio, Texas",0.70,1.80
0.50,"Austin, Texas",0.60,1.50
0.20,"Las Vegas, Nevada",0.30,0.80
0.30,"Houston, Texas",0.10,0.30
0.10,"Jacksonville, Florida",0.00,0.00
0.00,"Los Angeles, California",0.00,0.00
0.00,"Miami, Florida",0.00,0.00
0.10,"New Orleans, Louisiana",0.00,0.00
0.00,"Orlando, Florida",0.00,0.00
0.00,"Phoenix, Arizona",0.00,0.00
0.00,"Riverside, California",0.00,0.00
0.00,"Sacramento, California",0.00,0.00
0.00,"San Diego, California",0.00,0.00
0.00,"San Francisco, California",0.00,0.00
0.00,"San Jose, California",0.00,0.00
0.00,"Tampa, Florida",0.00,0.00
