City,MPH,KPH
"Boston, Massachusetts",12.30,19.80
"Oklahoma City, Oklahoma",12.20,19.60
"Buffalo, New York",11.80,19.00
"Milwaukee, Wisconsin",11.50,18.50
"Dallas, Texas",10.70,17.20
"Kansas City, Missouri",10.60,17.10
"San Francisco, California",10.60,17.10
"Cleveland, Ohio",10.50,16.90
"Minneapolis, Minnesota",10.50,16.90
"Virginia Beach, Virginia",10.50,16.90
"Providence, Rhode Island",10.40,16.70
"Chicago, Illinois",10.30,16.60
"Detroit, Michigan",10.20,16.40
"Rochester, New York",9.70,15.60
"Indianapolis, Indiana",9.60,15.40
"St. Louis, Missouri",9.60,15.40
"Philadelphia, Pennsylvania",9.50,15.30
"Washington, DC",9.40,15.10
"Miami, Florida",9.20,14.80
"Atlanta, Georgia",9.10,14.60
"Las Vegas, Nevada",9.10,14.60
"New York, New York",9.10,14.60
"San Antonio, Texas",9.10,14.60
"Cincinnati, Ohio",9.00,14.50
"Pittsburgh, Pennsylvania",9.00,14.50
"Memphis, Tennessee",8.80,14.20
"Salt Lake City, Utah",8.80,14.20
"Seattle, Washington",8.80,14.20
"Baltimore, Maryland",8.70,14.00
"Denver, Colorado",8.70,14.00
"Orlando, Florida",8.60,13.80
"Austin, Texas",8.50,13.70
"Hartford, Connecticut",8.40,13.50
"Columbus, Ohio",8.30,13.40
"Louisville, Kentucky",8.30,13.40
"Tampa, Florida",8.30,13.40
"New Orleans, Louisiana",8.20,13.20
"Nashville, Tennessee",8.00,12.90
"Portland, Oregon",7.90,12.70
"Jacksonville, Florida",7.80,12.60
"Sacramento, California",7.80,12.60
"Richmond, Virginia",7.70,12.40
"Houston, Texas",7.60,12.20
"Los Angeles, California",7.50,12.10
"Raleigh, North Carolina",7.50,12.10
"Charlotte, North Carolina",7.40,11.90
"Birmingham, Alabama",7.10,11.40
"San Diego, California",7.00,11.30
"Phoenix, Arizona",6.20,10.00
